releve_num,Tmx,Tmy,SMCF_area_p,con_len,tri_mean_p,veg_di,near_dist,edge_len,specialist_richness,richness,buffer
18108,223519,2493938,0.670992267,2319.151238,429.1763331,0.739200531,215.8367867,5559.906582,9,22,750
19084,307381,2684661,0.974314264,4443.904011,304.0368668,1.104412175,535.8325978,596.0819931,13,24,750
17895,239126,2515463,0.797986942,3800.060346,164.8934001,0.506446651,169.2790403,2876.491928,7,11,750
18109,223316,2494307,0.712690493,2855.688974,416.7186344,0.834841318,106.2944305,7048.212366,9,25,750
16885,261225,2710129,0.954052586,4646.549805,229.2024852,0.750590402,226.458494,2015.230042,4,15,750
16442,295274,2733274,1,4711.731453,293.4425611,0,1090.930926,0,11,16,750
18391,248596,2558716,1,4712.771118,274.4510292,0.2070879,1477.390439,0,6,23,750
16870,269560,2716509,0.986388436,4359.230089,386.5059182,0.531056941,612.6436737,613.6446991,4,16,750
18397,248253,2558945,1,4712.779434,260.9625754,0.441416632,1075.910245,0,4,17,750
19764,280519,2658197,0.639014671,2525.521704,449.6895262,0.572710998,143.6696465,5380.599247,11,18,750
18107,223149,2494980,0.854467185,3468.09561,412.3158823,0.690216582,277.6042099,3998.777443,12,27,750
16444,295510,2733441,1,4711.726997,294.9341646,0.067301004,1256.595021,0,14,16,750
19619,251483,2571077,0.958477156,3919.508858,362.3061414,0.250902567,492.6685896,3451.601384,8,17,750
17735,231901,2582426,0.816472239,3069.701385,344.4550545,0.298907869,23.1041099,2984.508988,3,23,750
17973,232426,2566144,0.360492312,1168.343506,389.2460601,0.008061247,31.33231931,3758.550049,1,26,750
16834,260914,2713450,0.737303483,2513.939652,339.1525017,1.259371234,308.659436,3590.4814,3,28,750
16551,271246,2717757,0.721538331,3169.832764,293.3463031,0.679573275,94.02962536,3942.030029,4,27,750
17724,232636,2581861,0.771448938,1742.571682,328.5422668,0.70606982,309.5781961,3833.884903,1,31,750
17733,230576,2581408,0.334039749,855.2424774,311.8277192,0.886840733,125.2753008,6008.266228,0,32,750
16864,257526,2719446,0.099429002,116.9668579,367.4353314,0.657172351,39.83534994,4242.58091,2,34,750
18011,221329,2502613,0.745053229,2577.033354,399.4842894,0.974037371,250.5375926,4175.043045,7,39,750
17675,223026,2586749,0.584615559,1735.542442,283.5828063,0.296128086,86.99870558,4727.033257,3,29,750
16884,255823,2708880,0.958072786,4313.77861,391.8490988,0.304683895,474.1886911,787.1209717,3,15,750
17263,264403,2663678,0.527926179,1268.824407,344.7898561,0.499955102,146.535897,4863.688905,4,26,750
17205,256739,2669670,0.875316194,3454.404297,404.2838178,1.123624214,205.1838694,3576.359985,3,23,750
17593,241604,2622464,0.782758757,2217.561531,359.1975599,0.921490241,164.9092964,6468.973152,0,15,750
19494,228589,2553876,0.470725705,1937.321617,364.5226702,0.187378459,23.28948972,4206.033356,3,27,750
18703,293213,2652120,0.24946166,742.4870901,323.2841177,0.602496861,77.21718023,3923.469826,5,35,750
18055,219409,2503282,0.415787449,809.4383545,285.3301848,0,50.08471723,5328.68602,3,34,750
18093,221822,2494686,0.582093098,2351.368004,406.9862313,0.094610085,105.5659415,5152.844322,3,30,750
17183,259347,2660212,0.616685342,1221.09314,322.8133587,0.391425958,371.1814902,3445.949036,1,25,750
17775,227273,2554290,0.468712097,1004.8053,287.3553475,0.257451892,2.984873308,4634.54538,2,38,750
17741,223896,2568218,0.470782068,2069.30542,276.5790175,0.481316882,51.17242096,5107.910156,3,34,750
19066,322575,2697942,0.532733161,2424.207197,258.6109031,0.88756054,142.0373545,5409.675424,7,27,750
17660,224287,2586375,0.614550865,1482.499817,407.4125558,0.042438833,350.1041837,3984.237061,4,28,750
18261,251328,2525848,0.252597836,391.999054,304.0923917,0,150.3160786,5270.571831,7,28,750
17690,223606,2590232,0.470252015,1335.694367,247.7994303,0.198146751,22.43401538,6003.607086,5,38,750
17919,228813,2553731,0.431890363,1651.536858,371.8567605,0.437903507,72.24696629,5270.627014,4,29,750
17875,225227,2511699,0.414053051,1109.493042,418.2895032,0.150423908,48.8077058,5322.218994,5,38,750
17473,269386,2654691,0.831744864,3321.936203,355.9002558,0.317874293,445.4332622,1959.727989,5,24,750
17594,241000,2622727,0.432966504,1623.623856,318.758513,0.85278997,136.6813916,4031.590012,0,18,750
16824,279314,2736705,0.331254917,1424.499209,315.417975,0.787105436,5.356282406,3652.442538,3,33,750
18013,221773,2502028,0.761478892,2783.171193,371.5365138,0.79895045,181.60315,5244.336413,6,44,750
16539,278782,2729677,0.472451521,617.8660889,281.6432511,0.62810039,242.408579,4433.041439,4,36,750
17527,271857,2656910,0.98760513,4440.976875,406.868794,0.732235812,561.7279115,846.338295,4,24,750
18082,224076,2490081,0.405168688,1809.596375,404.7309116,0.768826268,47.56744383,4868.616428,6,28,750
17621,271853,2647957,0.4759698,964.3376574,287.8637876,0.737595533,214.7975808,4627.805434,2,29,750
17721,231277,2581654,0.287560534,1514.427338,334.2254568,0.606259592,43.53564182,4394.22699,3,29,750
